NGVS_catalog_id,band,time,exposure,frame,image_index,zeropoint,mag,err_sys,time_mjd
198306,z,2011-05-286:32,550.126,1306444,35,31.661,18.60533008,0.005315418,55709.27222
198306,u,2011-06-027:06,582.131,1307163,36,32.04,18.9737405,0.003540375,55714.29583
198306,u,2011-06-027:17,582.13,1307164,37,32.064,18.95475783,0.003544173,55714.30347
198306,u,2011-06-247:48,582.088,1311647,38,31.934,19.74325508,0.006653323,55736.325
198306,u,2011-06-306:48,582.091,1312334,40,31.964,19.6864193,0.005052672,55742.28333
198306,u,2012-03-1511:24,582.133,1533459,42,32.246,19.75151601,0.004715799,56001.475
198306,u,2012-03-1511:35,582.142,1533460,43,32.222,19.78588716,0.004784683,56001.48264
198306,u,2012-03-169:13,582.108,1533571,45,32.201,19.12337123,0.003345867,56002.38403
198306,u,2012-03-169:24,582.12,1533572,46,32.204,19.16429237,0.003312403,56002.39167
198306,u,2012-03-1712:06,582.119,1533690,47,32.237,19.12204907,0.003308905,56003.50417
198306,u,2012-03-1712:16,582.112,1533691,48,32.251,19.0557854,0.003191534,56003.51111
198306,u,2012-03-189:21,582.14,1533804,49,32.227,19.67756655,0.004289283,56004.38958
198306,u,2012-03-189:31,582.133,1533805,50,32.2,19.64604222,0.004408612,56004.39653
198306,u,2012-03-1810:36,582.163,1533811,51,32.222,19.74306108,0.004958971,56004.44167
198306,u,2012-03-198:44,582.096,1533928,52,32.193,19.02504446,0.003190237,56005.36389
198306,u,2012-03-198:54,582.094,1533929,53,32.216,19.00098608,0.003075519,56005.37083
198306,u,2013-02-0613:30,120.071,1607396,76,30.472,18.99478424,0.007391967,56329.5625
198306,u,2013-06-127:17,582.105,1631344,78,32.065,19.78748872,0.004805086,56455.30347
198306,u,2013-06-128:00,582.095,1631348,79,32.052,19.86265097,0.005293184,56455.33333
45129,g,2009-02-2611:12,634.117,1062409,1,33.527,19.03283236,0.001720718,54888.46667
45129,g,2009-02-2611:24,634.099,1062410,2,33.416,19.06095391,0.001897048,54888.475
45129,g,2009-02-2611:46,634.107,1062412,3,33.515,19.0413079,0.00187129,54888.49028
45129,g,2009-03-0212:26,634.114,1063575,4,33.548,18.6211147,0.001475659,54892.51806
45129,g,2009-03-0212:38,634.117,1063576,5,33.555,18.68058024,0.001482195,54892.52639
45129,g,2009-03-2310:26,634.09,1066838,6,33.479,18.7742112,0.001456652,54913.43472
45129,g,2009-03-2310:37,634.098,1066839,7,33.504,18.59161569,0.00131337,54913.44236
45129,g,2009-03-2311:46,634.111,1066845,8,33.483,18.07859281,0.001067704,54913.49028
45129,g,2009-03-2311:57,634.117,1066846,9,33.504,19.81943958,0.002827095,54913.49792
45129,g,2009-03-2313:08,634.105,1066852,10,33.48,18.34000083,0.00133022,54913.54722
45129,g,2009-03-2313:19,634.103,1066853,11,33.456,18.39747716,0.001474299,54913.55486
45129,g,2009-03-277:58,634.069,1067266,12,33.292,18.58764495,0.001593355,54917.33194
45129,g,2009-03-2912:14,634.076,1067599,13,31.84,19.08444498,0.004909207,54919.50972
45129,g,2009-03-308:08,634.051,1067662,14,33.291,18.16217063,0.001167874,54920.33889
45129,g,2009-03-3010:35,634.112,1067682,15,33.536,18.6081792,0.001581119,54920.44097
45129,g,2009-04-178:46,634.157,1072958,16,33.362,18.2570576,0.00139432,54938.36528
45129,g,2009-04-197:26,634.097,1073344,17,33.517,18.58858242,0.001442159,54940.30972
45129,g,2009-04-198:35,634.145,1073350,18,33.535,18.70392406,0.001493901,54940.35764
45129,g,2009-04-205:32,634.084,1073554,19,33.469,19.102606,0.004408892,54941.23056
45129,g,2009-04-205:55,634.107,1073556,20,33.507,19.07656153,0.00338794,54941.24653
45129,g,2009-04-236:33,634.109,1073922,21,33.51,19.07800561,0.001829664,54944.27292
45129,g,2009-04-237:42,634.158,1073928,22,33.519,19.05887589,0.001726217,54944.32083
45129,g,2009-04-276:31,634.14,1074357,26,33.446,18.11958651,0.001047615,54948.27153
45129,g,2009-04-276:54,634.12,1074359,27,33.52,18.19835212,0.001081309,54948.2875
45129,z,2009-04-299:34,550.143,1074658,28,31.661,18.5994373,0.004959991,54950.39861
45129,z,2009-04-299:44,550.13,1074659,29,31.519,18.66023472,0.006462584,54950.40556
45129,z,2009-04-299:54,550.133,1074660,30,31.53,18.65712623,0.005726037,54950.4125
45129,z,2009-04-2911:04,550.125,1074671,31,31.709,18.68473541,0.00714133,54950.46111
45129,z,2009-05-016:55,550.107,1074928,32,31.759,18.62025331,0.0039703,54952.28819
